Obc,(SBC) Special,(SC)Scheduled Cast,(ST) Scheduled Tribes,(VJNT)Vimukta Jati and Nomadic Tribes,SEBC
(1)Alitkar,(1)(1)Gawari,Aaremala(3),Advichincher(38),(1)(1)Bava,SEBC
(10)Bhavin,(1)(1)Gowari,Aarwa mala(4),Agaria(18),(1)(10)Aranya Gharbhari,
(100)Medar,(3)(1)Koshti,AGER 1,Andh(1),(1)(11)Sanyasi,
(101)Mhali,(3)(10)Dewang,Anmuk(2),Arakh(18),(1)(12)Nathpanthi Gosavi,
(102)Mitha,(3)(11)Kachi Bandhhe,Asadaru (11),Arrakh(18),(1)(13)Puri,
(104)Mathura,(3)(12)Patvis,ASODI,Asur(18),(1)(2)Bairagi,
(105)Namdhari,(3)(13)Satsale,Ayalwar(51),Bada Maria(18),(1)(3)Bharati,
(106)Namdhari Paik,(3)(14)Sade,Bahna/Bahana(5),Badi Maria(18),(1)(4)Girigosavi,
(107)Nirshikari,(3)(15)Jainkoshti,BAKAD 6,Bahelia(38),(1)(5)Bharati Gosavi,
(108)Hadpad,(3)(16)Lingayat Dewang,Balaahi(7),Bahellia(38),(1)(6)Saraswati Parbat,
(108)Hajam,(3)(16)Lingayat Koshti,Balai(7),Baiga(2),(1)(7)Sagar,
(108)Hajjam,(3)(16)Lingayat Sali,Balmiki(12),Bamcha(4),(1)(8)Ban,
,(3)(2)Halba Koshti,,,,
(108)Lingayat Nhavi,(3)(4)Sali,Bansodi (8),Barda(3),(1)(8)Van,
(108)Mhali,(3)(4)Swakul Sali,Bansor (8),Barodia(47),(1)(9)Teerth Ashram,
(108)Nabhik,(3)(5)Lad Koshti,BANT 6,Bavacha(4),(1)(B)Naikwadi,
(108)Napit,(3)(6)Gaddhewal Koshti,Bant(6),Bhagalia Bhilala(8),(1)(C)Talwar,
(108)Navi,(3)(7)Deshkar,Basod (8),Bhagalia(8),(1)(D)Walmiki,
(108)Navisen,(3)(9)Chanewar,Basor(8),Bhaina(5),(1)Berad,
(108)Nhavi,(3)(9)Channewar,Bedajangam(9),Bhar(18),(1)Gosavi,
(108)Salmani,(3)(9)Chenewar,Bedar(10),Bharia Bhumia(6),(10)(A)Pardeshi Bhamta,
